frame_idx,seconds
0,0.10214389400016444
1,0.10289907800006404
2,0.1013175800001136
3,0.10101635899991379
4,0.10319635600012589
5,0.10170404299992697
6,0.10358648400006132
7,0.10277209699984269
8,0.10061708099988209
9,0.10134745000004841
10,0.10141528400004063
11,0.10178415400014273
12,0.10142530300004182
13,0.09987278599987803
14,0.10133506200008924
15,0.100392248000162
16,0.10350591099995654
17,0.10161384000002727
18,0.10100585899999714
19,0.0998105090000081
20,0.10181398800000352
21,0.10322759600012432
22,0.10051293300011821
23,0.101377968999941
24,0.1005260439999347
25,0.10098124799992547
26,0.1028826519998347
27,0.10451648399998703
28,0.10366476200010766
29,0.1019709319998583
30,0.10343326300016997
31,0.10218215300005795
32,0.10457696500020575
33,0.1036866330000521
34,0.10232589400015968
35,0.10336974500000906
36,0.10170178400016994
37,0.1016050619998623
38,0.1020946159999312
39,0.10221268999998756
40,0.10421470599999338
41,0.10093622900012633
42,0.10373518799997328
43,0.10255598599997029
44,0.10269280099987554
45,0.10449611299986827
46,0.10157337700002245
47,0.10575766700003442
48,0.10427079900000535
49,0.1043109459999414
50,0.10703433199978463
51,0.10446816900002887
52,0.10672153599989542
53,0.10535438900001282
54,0.12104897799986247
55,0.10560187000010046
56,0.1133834710001338
57,0.10576633300001959
58,0.1049941870001021
59,0.10634159200003523
60,0.10763088599992443
61,0.10877714499997637
62,0.11015790100009326
63,0.10271924500011664
64,0.11453074699988974
65,0.10654298100007509
66,0.10855020000008153
67,0.10500281600002381
68,0.13947689799988439
69,0.11225478699998348
70,0.10436072499987858
71,0.11259330499979114
72,0.1246176040001501
73,0.10337398499996198
74,0.1250742510001146
75,0.11910059299998466
76,0.10915742199995293
77,0.10196300600000541
78,0.10952979100011362
79,0.11501172799989945
80,0.10730979400000251
81,0.11095819699994536
82,0.10361439300004349
83,0.1294282450000992
84,0.11439804399992681
85,0.10657640699992044
86,0.12793632099987917
87,0.12728565600014008
88,0.1103736980001031
89,0.1053075379998063
90,0.12272562499993
91,0.128110228000196
92,0.10781079399998816
93,0.11218578800003343
94,0.10549009299984391
95,0.10691249900014554
96,0.10518983399992976
97,0.10616074099993966
98,0.10584409300008701
99,0.11100665999992998
