frame_idx,seconds
0,0.19783205600015208
1,0.1985417780001626
2,0.19633692900015376
3,0.19486641299999974
4,0.19719750200010822
5,0.19565604099989287
6,0.19783479700004136
7,0.19719005799993283
8,0.19683035399998516
9,0.19437802399988868
10,0.1954675040001348
11,0.19594968900014464
12,0.19507169000007707
13,0.1938960429999952
14,0.19817122299991752
15,0.194213690999959
16,0.19934359200010476
17,0.19609874400021
18,0.19494013500002438
19,0.19460872799982099
20,0.19651022500011095
21,0.19846720300006382
22,0.19495172699998875
23,0.1962478549999105
24,0.19645259499998247
25,0.1959205779999138
26,0.19766705699998965
27,0.19876894499998343
28,0.19762670499994783
29,0.19551787499995044
30,0.1960012080000979
31,0.20232069900021088
32,0.20025164600019707
33,0.1991358330001276
34,0.19648633700012397
35,0.19781963099990207
36,0.1964103550001255
37,0.19593931899999006
38,0.19733926100002463
39,0.19690268699991975
40,0.19826003699995454
41,0.19651376199999504
42,0.19919435099996008
43,0.1965043360000891
44,0.19716350199996668
45,0.19993855400002758
46,0.19503389399983462
47,0.19966223899996294
48,0.20044583100002455
49,0.1996012569998129
50,0.20230488399988644
51,0.20118486700016547
52,0.20519658300008814
53,0.20292254899982254
54,0.2226082069998938
55,0.20063271899994106
56,0.21039281699995627
57,0.21031450200007384
58,0.20074999700000262
59,0.20543861999999535
60,0.20932509599992954
61,0.20898502300019572
62,0.21053109400008907
63,0.21619149399998605
64,0.21410497799979566
65,0.20946543000013662
66,0.2079675429999952
67,0.20307271599995147
68,0.2383999449998555
69,0.21015216899991174
70,0.21391127499987306
71,0.2225265039999158
72,0.22283930000003238
73,0.19741103899991685
74,0.22538266700007625
75,0.22458298300011847
76,0.21982160099992143
77,0.22156326499998613
78,0.2091027070000564
79,0.22939310499987187
80,0.21308849799993368
81,0.2260669809998035
82,0.19986916599987126
83,0.2312718059999952
84,0.2147447560000728
85,0.2152932740000324
86,0.22730188599985013
87,0.2238667430001442
88,0.20635606400014694
89,0.2161674569999832
90,0.2232220949999828
91,0.2255418700001428
92,0.20291506900002787
93,0.22954801299988503
94,0.21253040699980374
95,0.20435928900019462
96,0.22708083099996657
97,0.22228909699992982
98,0.2052753059999759
99,0.22446087200000875
